Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
A0A3S0ZT07	unreviewed	A0A3S0ZT07_ELYCH	Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (Retinyl ester hydrolase)	EGW08_006196	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	663	GO:0005811; GO:0005829; GO:0005901; GO:0008203; GO:0019433; GO:0033878; GO:0047372
A0A3S1BD35	unreviewed	A0A3S1BD35_ELYCH	O-acyltransferase	EGW08_011068	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	650	GO:0004144; GO:0005789; GO:0019432; GO:0050252
A0A3S1BJ05	unreviewed	A0A3S1BJ05_ELYCH	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein X)	EGW08_002750	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	534	GO:0003988; GO:0005739; GO:0006869; GO:0008289; GO:0033814; GO:0050632; GO:0050633
A0A3S1C9L0	unreviewed	A0A3S1C9L0_ELYCH	Phospholipase B1, membrane-associated (EC 3.1.1.3) (EC 3.1.1.4) (EC 3.1.1.5) (Lysophospholipase) (Phospholipase A2) (Phospholipase B/lipase) (Triacylglycerol lipase)	EGW08_005607	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	322	GO:0004622; GO:0004623; GO:0004806; GO:0006629; GO:0016324; GO:0102545
A0A3S0ZBY7	unreviewed	A0A3S0ZBY7_ELYCH	Peptidase M20 dimerisation domain-containing protein	EGW08_016865	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	392	GO:0006807; GO:0016787
A0A3S0ZKD9	unreviewed	A0A3S0ZKD9_ELYCH	Flavin-containing monooxygenase 5 (EC 1.14.13.8) (EC 1.6.3.1) (Dimethylaniline monooxygenase [N-oxide-forming] 5) (Dimethylaniline oxidase 5) (NADPH oxidase)	EGW08_015367	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	634	GO:0004499; GO:0005789; GO:0006629; GO:0016174; GO:0047822; GO:0050660; GO:0050661
A0A3S1B9L5	unreviewed	A0A3S1B9L5_ELYCH	Peptidase M20 dimerisation domain-containing protein	EGW08_016864	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	334	GO:0006807; GO:0016787
A0A3S1BLM6	unreviewed	A0A3S1BLM6_ELYCH	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	KATNA1 EGW08_008553	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	500	GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0008017; GO:0008568; GO:0016853; GO:0016887; GO:0051013; GO:0051301
A0A3S1BW84	unreviewed	A0A3S1BW84_ELYCH	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 EGW08_015753	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	1540	GO:0000289; GO:0000932; GO:0003676; GO:0004535; GO:0005634; GO:0006397; GO:0010606; GO:0031251; GO:0046872
A0A433SJ57	unreviewed	A0A433SJ57_ELYCH	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.n1) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	EGW08_023154	Elysia chlorotica (Eastern emerald elysia) (Sea slug)	754	GO:0000049; GO:0003924; GO:0005524; GO:0005525; GO:0005743; GO:0005759; GO:0006412; GO:0008033; GO:0043022; GO:0045727; GO:0061708
