ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
ko04080	Neuroactive ligand-receptor interaction	44/749	61/3336	1.0284296215459431e-16	3.290974788947018e-14	3.031160989819622e-14	K04153/K04231/K04204/K08378/K04157/K05208/K04307/K04208/K04240/K05175/K04162/K04261/K04160/K04280/K04194/K04811/K04578/K05197/K05198/K04148/K04285/K04585/K08375/K04615/K04576/K04145/K05213/K04239/K05210/K04210/K04168/K25484/K25483/K04131/K04586/K05181/K04224/K04282/K04226/K04606/K05195/K04238/K08376/K04149	44
ko01230	Biosynthesis of amino acids	28/749	51/3336	3.9681880974790214e-7	6.349100955966435e-5	5.847856143653296e-5	K01807/K01953/K00611/K01623/K00548/K00789/K00031/K00500/K14455/K00927/K01689/K14454/K00948/K01834/K01803/K00826/K01754/K12657/K01697/K14677/K01758/K00134/K00831/K00873/K01755/K00264/K00600/K01940	28
ko05033	Nicotine addiction	10/749	11/3336	2.7265862988614045e-6	2.908358718785498e-4	2.6787514515129587e-4	K05208/K04849/K05175/K05197/K05198/K15015/K05213/K05210/K05181/K12302	10
ko01110	Biosynthesis of secondary metabolites	93/749	284/3336	1.943022086752062e-5	0.0015544176694016498	0.0014317004849752038	K01597/K01810/K08099/K01807/K00700/K05901/K01953/K00611/K00106/K02437/K10703/K05357/K01623/K00548/K00844/K00121/K00015/K01047/K00789/K00031/K05280/K15728/K13523/K10106/K09831/K00128/K00816/K00025/K00281/K01596/K14621/K14455/K19548/K00927/K05906/K01689/K01580/K14454/K00948/K10258/K00318/K01834/K00006/K01676/K00626/K24873/K00273/K11529/K00222/K13509/K13644/K01803/K00826/K01754/K11188/K03783/K00602/K13240/K10203/K12657/K01697/K18966/K01858/K00760/K00010/K14677/K06981/K19177/K01590/K00547/K01053/K01758/K00940/K00605/K19007/K00134/K01648/K07508/K00228/K01599/K13506/K00276/K00831/K00873/K12316/K01755/K03841/K00264/K00600/K00815/K06928/K00049/K01940	93
ko00270	Cysteine and methionine metabolism	20/749	37/3336	2.5822336406499514e-5	0.001652629530015969	0.0015221587776462872	K09880/K00558/K00548/K00789/K11205/K00816/K00025/K14455/K00772/K14454/K00826/K01697/K00547/K01758/K08967/K11204/K01011/K00831/K00815/K05810	20
ko00480	Glutathione metabolism	15/749	27/3336	1.8100878919062114e-4	0.00965380209016646	0.008891659819890162	K00799/K00383/K00681/K00031/K10807/K11205/K04097/K11188/K05360/K00432/K10808/K18592/K01255/K11204/K23790	15
ko04975	Fat digestion and absorption	10/749	15/3336	0.00030333442252175483	0.013866716458137364	0.01277197568512652	K14452/K01047/K14074/K14455/K05684/K00626/K11155/K05683/K13885/K13509	10
ko01523	Antifolate resistance	10/749	16/3336	6.471354064414276e-4	0.023059001739956363	0.021238554234170332	K13649/K00560/K05681/K14613/K00602/K05665/K01307/K00600/K05673/K25004	10
ko04024	cAMP signaling pathway	28/749	70/3336	6.485344239362727e-4	0.023059001739956363	0.021238554234170332	K04153/K04204/K05208/K07830/K04513/K04162/K04160/K07294/K04578/K05197/K05198/K19021/K04949/K18438/K04615/K12323/K08045/K04145/K05213/K04734/K05210/K21108/K04952/K25484/K25483/K04962/K04955/K05673	28
ko04742	Taste transduction	9/749	14/3336	9.205036482499904e-4	0.029456116743999693	0.027130633843157614	K04153/K04824/K05175/K04615/K04828/K04825/K13755/K04131/K04916	9
ko00561	Glycerolipid metabolism	14/749	28/3336	0.0012133140232223883	0.03176579669019091	0.029257970635702155	K14452/K15728/K13523/K14074/K00128/K16816/K00863/K11155/K11529/K13509/K00635/K19007/K13506/K01054	14
ko00260	Glycine, serine and threonine metabolism	16/749	34/3336	0.0012634106352538864	0.03176579669019091	0.029257970635702155	K16066/K02437/K00281/K00306/K01834/K00273/K11529/K01754/K01697/K00060/K01758/K00605/K00276/K00831/K00600/K00049	16
ko04977	Vitamin digestion and absorption	8/749	12/3336	0.0012904854905390058	0.03176579669019091	0.029257970635702155	K14622/K14621/K14613/K13885/K05665/K14386/K14611/K14616	8
ko01120	Microbial metabolism in diverse environments	44/749	132/3336	0.0022595053822845154	0.048366622095708175	0.04454820456183649	K12661/K01810/K01807/K00106/K01623/K00844/K00121/K00015/K00031/K01061/K00128/K00025/K01596/K00306/K14455/K00927/K01070/K01689/K01580/K14454/K00948/K01834/K01676/K00626/K00863/K11529/K01803/K22211/K00387/K00010/K01053/K00134/K01648/K01011/K01426/K00275/K00831/K00873/K03841/K00264/K00600/K01800/K00049/K25004	44
ko00680	Methane metabolism	10/749	18/3336	0.002267185410736321	0.048366622095708175	0.04454820456183649	K01623/K00121/K01070/K01689/K01834/K00863/K11529/K00831/K03841/K00600	10
