Entry	Entry Name	Protein names	Gene Names	Length	Pathway	Gene Ontology (biological process)	Gene Ontology IDs
A0A3S0ZT07	A0A3S0ZT07_ELYCH	Hormone-sensitive lipase (EC 3.1.1.23) (EC 3.1.1.79) (Monoacylglycerol lipase LIPE) (Retinyl ester hydrolase)	EGW08_006196	663	PATHWAY: Glycerolipid metabolism; triacylglycerol degradation. {ECO:0000256|ARBA:ARBA00004879}.; PATHWAY: Lipid metabolism. {ECO:0000256|ARBA:ARBA00005189}.	cholesterol metabolic process [GO:0008203]; triglyceride catabolic process [GO:0019433]	GO:0005811; GO:0005829; GO:0005901; GO:0008203; GO:0019433; GO:0033878; GO:0047372
A0A3S1BD35	A0A3S1BD35_ELYCH	O-acyltransferase	EGW08_011068	650	PATHWAY: Lipid metabolism; glycerolipid metabolism. {ECO:0000256|ARBA:ARBA00005175}.	triglyceride biosynthetic process [GO:0019432]	GO:0004144; GO:0005789; GO:0019432; GO:0050252
A0A3S1BJ05	A0A3S1BJ05_ELYCH	Sterol carrier protein 2 (EC 2.3.1.155) (EC 2.3.1.16) (EC 2.3.1.176) (Acetyl-CoA C-myristoyltransferase) (Non-specific lipid-transfer protein) (Propanoyl-CoA C-acyltransferase) (SCP-2/3-oxoacyl-CoA thiolase) (SCP-2/thiolase) (SCP-chi) (Sterol carrier protein X)	EGW08_002750	534		lipid transport [GO:0006869]	GO:0003988; GO:0005739; GO:0006869; GO:0008289; GO:0033814; GO:0050632; GO:0050633
A0A3S1C9L0	A0A3S1C9L0_ELYCH	Phospholipase B1, membrane-associated (EC 3.1.1.3) (EC 3.1.1.4) (EC 3.1.1.5) (Lysophospholipase) (Phospholipase A2) (Phospholipase B/lipase) (Triacylglycerol lipase)	EGW08_005607	322		lipid metabolic process [GO:0006629]	GO:0004622; GO:0004623; GO:0004806; GO:0006629; GO:0016324; GO:0102545
A0A3S0ZBY7	A0A3S0ZBY7_ELYCH	Peptidase M20 dimerisation domain-containing protein	EGW08_016865	392	PATHWAY: Amino-acid metabolism. {ECO:0000256|ARBA:ARBA00034698}.; PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000256|ARBA:ARBA00004872}.	nitrogen compound metabolic process [GO:0006807]	GO:0006807; GO:0016787
A0A3S0ZKD9	A0A3S0ZKD9_ELYCH	Flavin-containing monooxygenase 5 (EC 1.14.13.8) (EC 1.6.3.1) (Dimethylaniline monooxygenase [N-oxide-forming] 5) (Dimethylaniline oxidase 5) (NADPH oxidase)	EGW08_015367	634		lipid metabolic process [GO:0006629]	GO:0004499; GO:0005789; GO:0006629; GO:0016174; GO:0047822; GO:0050660; GO:0050661
A0A3S1B9L5	A0A3S1B9L5_ELYCH	Peptidase M20 dimerisation domain-containing protein	EGW08_016864	334	PATHWAY: Amino-acid metabolism. {ECO:0000256|ARBA:ARBA00034698}.; PATHWAY: Lipid metabolism; fatty acid metabolism. {ECO:0000256|ARBA:ARBA00004872}.	nitrogen compound metabolic process [GO:0006807]	GO:0006807; GO:0016787
A0A3S1BLM6	A0A3S1BLM6_ELYCH	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	KATNA1 EGW08_008553	500		cell cycle [GO:0007049]; cell division [GO:0051301]; microtubule severing [GO:0051013]	GO:0000922; GO:0005524; GO:0005737; GO:0005813; GO:0005874; GO:0007049; GO:0008017; GO:0008568; GO:0016853; GO:0016887; GO:0051013; GO:0051301
A0A3S1BW84	A0A3S1BW84_ELYCH	PAN2-PAN3 deadenylation complex catalytic subunit PAN2 (EC 3.1.13.4) (PAB1P-dependent poly(A)-specific ribonuclease) (Poly(A)-nuclease deadenylation complex subunit 2) (PAN deadenylation complex subunit 2)	PAN2 EGW08_015753	1540		mRNA processing [GO:0006397]; nuclear-transcribed mRNA poly(A) tail shortening [GO:0000289]; positive regulation of cytoplasmic mRNA processing body assembly [GO:0010606]	GO:0000289; GO:0000932; GO:0003676; GO:0004535; GO:0005634; GO:0006397; GO:0010606; GO:0031251; GO:0046872
A0A433SJ57	A0A433SJ57_ELYCH	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.n1) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	EGW08_023154	754		positive regulation of translation [GO:0045727]; translation [GO:0006412]; tRNA processing [GO:0008033]	GO:0000049; GO:0003924; GO:0005524; GO:0005525; GO:0005743; GO:0005759; GO:0006412; GO:0008033; GO:0043022; GO:0045727; GO:0061708
A0A433T242	A0A433T242_ELYCH	ATP-binding cassette sub-family B member 6 (EC 7.6.2.5) (ABC-type heme transporter ABCB6)	EGW08_016592	840			GO:0000139; GO:0005524; GO:0005576; GO:0005741; GO:0005765; GO:0016887; GO:0031901; GO:0032585; GO:0033162; GO:0140359
A0A433T9T5	A0A433T9T5_ELYCH	Flavin-containing monooxygenase (EC 1.-.-.-)	EGW08_013877	518		lipid metabolic process [GO:0006629]	GO:0004499; GO:0005789; GO:0006629; GO:0047822; GO:0050660; GO:0050661; GO:0106294
A0A433TL23	A0A433TL23_ELYCH	Acylglycerol kinase, mitochondrial (EC 2.7.1.107) (EC 2.7.1.138) (EC 2.7.1.94) (Mitochondrial import inner membrane translocase subunit TIM54) (Multiple substrate lipid kinase)	EGW08_009992	431	PATHWAY: Lipid metabolism; glycerolipid metabolism. {ECO:0000256|ARBA:ARBA00005175}.	glycerolipid metabolic process [GO:0046486]	GO:0005743; GO:0005758; GO:0016301; GO:0046486
A0A433TUL0	A0A433TUL0_ELYCH	CAD protein (EC 2.1.3.2) (EC 3.5.2.3) (EC 6.3.5.5)	EGW08_007006	2213	PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 1/3. {ECO:0000256|ARBA:ARBA00004812}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 2/3. {ECO:0000256|ARBA:ARBA00004852}.; PATHWAY: Pyrimidine metabolism; UMP biosynthesis via de novo pathway; (S)-dihydroorotate from bicarbonate: step 3/3. {ECO:0000256|ARBA:ARBA00004880}.	'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]; 'de novo' UMP biosynthetic process [GO:0044205]; glutamine metabolic process [GO:0006541]	GO:0004070; GO:0004088; GO:0004151; GO:0005524; GO:0006207; GO:0006541; GO:0016597; GO:0044205; GO:0046872
A0A433TWQ7	A0A433TWQ7_ELYCH	Flavin-containing monooxygenase (EC 1.-.-.-)	EGW08_006311	544		lipid metabolic process [GO:0006629]	GO:0004499; GO:0005789; GO:0006629; GO:0047822; GO:0050660; GO:0050661; GO:0106294
A0A0K0KET3	A0A0K0KET3_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	219	PATHWAY: Energy metabolism; oxidative phosphorylation. {ECO:0000256|ARBA:ARBA00004673, ECO:0000256|RuleBase:RU000369}.	oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A191XTW6	A0A191XTW6_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	211	PATHWAY: Energy metabolism; oxidative phosphorylation. {ECO:0000256|ARBA:ARBA00004673, ECO:0000256|RuleBase:RU000369}.	oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A191XUA1	A0A191XUA1_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	218	PATHWAY: Energy metabolism; oxidative phosphorylation. {ECO:0000256|ARBA:ARBA00004673, ECO:0000256|RuleBase:RU000369}.	oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
A0A2U8U4S5	A0A2U8U4S5_ELYCH	Cytochrome c oxidase subunit 1 (EC 7.1.1.9)	COI	211	PATHWAY: Energy metabolism; oxidative phosphorylation. {ECO:0000256|ARBA:ARBA00004673, ECO:0000256|RuleBase:RU000369}.	oxidative phosphorylation [GO:0006119]	GO:0004129; GO:0005743; GO:0006119; GO:0020037; GO:0046872; GO:0070469
