"Gene.Names"	"apo1_Rep1"	"apo1_Rep2"	"apo1_Rep3"	"apo2_Rep1"	"apo2_Rep2"	"apo2_Rep3"	"apo3_Rep1"	"apo3_Rep2"	"apo3_Rep3"	"Entry"	"Entry.Name"	"Protein.names"	"Length"	"Pathway"	"Gene.Ontology..biological.process."	"Gene.Ontology.IDs"
"EGW08_000001"	1756	856	900	2146	1009	1137	2075	988	1087	"A0A3S1A2F3"	"A0A3S1A2F3_ELYCH"	"FAD-binding PCMH-type domain-containing protein"	318	""	""	"GO:0003824; GO:0071949"
"EGW08_000002"	5	4	1	2	1	1	4	2	2	"A0A433UED2"	"A0A433UED2_ELYCH"	"Amino acid transporter transmembrane domain-containing protein"	321	""	""	"GO:0016020"
"EGW08_000003"	103	48	55	132	57	75	117	72	45	"A0A3S1BYQ0"	"A0A3S1BYQ0_ELYCH"	"Schwannomin interacting protein 1 C-terminal domain-containing protein"	217	""	""	""
"EGW08_000004"	344	174	170	404	199	205	389	196	193	"A0A3S1A1R1"	"A0A3S1A1R1_ELYCH"	"Charged multivesicular body protein 2a"	291	""	"vacuolar transport [GO:0007034]"	"GO:0007034"
"EGW08_000005"	1129	581	548	1337	679	658	1304	629	675	"A0A3S1BUW9"	"A0A3S1BUW9_ELYCH"	"Cold shock domain-containing protein E1"	823	""	""	"GO:0003676"
"EGW08_000006"	287	139	148	327	158	169	305	143	162	"A0A433UEI8"	"A0A433UEI8_ELYCH"	"T-complex protein 11-like protein 1"	520	""	""	""
"EGW08_000007"	44	28	16	41	24	17	31	18	13	"A0A3S1BVG2"	"A0A3S1BVG2_ELYCH"	"F-box domain-containing protein"	638	""	""	""
"EGW08_000008"	11	7	4	22	13	9	17	8	9	"A0A3S1I4R0"	"A0A3S1I4R0_ELYCH"	"Actin-related protein 6"	404	""	""	""
"EGW08_000009"	55	32	23	66	38	28	71	37	34	"A0A433UEB5"	"A0A433UEB5_ELYCH"	"Importin N-terminal domain-containing protein"	933	""	"intracellular protein transport [GO:0006886]; nucleocytoplasmic transport [GO:0006913]"	"GO:0006886; GO:0006913; GO:0031267"
"EGW08_000010"	14	10	4	24	15	9	24	13	11	"A0A433UE70"	"A0A433UE70_ELYCH"	"Uncharacterized protein"	209	""	""	"GO:0016020"
"EGW08_000011"	8	3	5	12	6	6	16	8	8	"A0A433UEE8"	"A0A433UEE8_ELYCH"	"Small monomeric GTPase"	228	""	""	"GO:0003924; GO:0005525"
"EGW08_000012"	280	146	134	355	170	185	314	154	160	"A0A3S1AH98"	"A0A3S1AH98_ELYCH"	"EGF-like domain-containing protein"	950	""	""	"GO:0016020"
"EGW08_000013"	68	37	31	81	48	33	83	40	43	"A0A433UDZ4"	"A0A433UDZ4_ELYCH"	"Uncharacterized protein"	665	""	"regulation of apoptotic process [GO:0042981]"	"GO:0042981"
"EGW08_000014"	93	49	44	120	66	54	99	52	47	"A0A3S5K2K7"	"A0A3S5K2K7_ELYCH"	"Peptidase A1 domain-containing protein"	811	""	""	"GO:0016020"
"EGW08_000015"	87	48	39	89	53	36	107	57	50	"A0A433UEF1"	"A0A433UEF1_ELYCH"	"REJ domain-containing protein"	105	""	""	""
"EGW08_000016"	9	7	2	17	10	7	16	6	10	"A0A433UEJ6"	"A0A433UEJ6_ELYCH"	"Carrier domain-containing protein"	245	""	""	""
"EGW08_000017"	25	15	10	32	14	18	32	17	15	"A0A3S1CGQ6"	"A0A3S1CGQ6_ELYCH"	"Ketosynthase family 3 (KS3) domain-containing protein"	1614	"PATHWAY: Lipid metabolism; fatty acid biosynthesis. {ECO:0000256|ARBA:ARBA00005194}."	"fatty acid biosynthetic process [GO:0006633]"	"GO:0004315; GO:0006633; GO:0016491"
"EGW08_000018"	7	3	4	5	4	1	5	4	1	"A0A3S1BNB6"	"A0A3S1BNB6_ELYCH"	"Nudix hydrolase domain-containing protein"	134	""	""	"GO:0010945"
"EGW08_000019"	0	0	0	0	0	0	1	0	1	"A0A433UEC6"	"A0A433UEC6_ELYCH"	"G-protein coupled receptors family 1 profile domain-containing protein"	340	""	""	"GO:0005886; GO:0008528"
"EGW08_000020"	2	2	0	1	1	0	1	0	1	"A0A3S1A2G0"	"A0A3S1A2G0_ELYCH"	"Uncharacterized protein"	118	""	""	""
"EGW08_000021"	114	66	48	145	65	80	147	66	81	"A0A3S1BYQ9"	"A0A3S1BYQ9_ELYCH"	"RRM domain-containing protein"	676	""	""	"GO:0003723"
